# R(H2)/A     E(RHF)/a.u.
 0.50000000  -1.06343098 
 0.60106383  -1.11580852
 0.70212766  -1.13225480
 0.80319149  -1.13011248
 0.90425532  -1.11818289
 1.00531915  -1.10119758
 1.10638298  -1.08180694
 1.20744681  -1.06153840 
 1.30851064  -1.04128746 
 1.40957447  -1.02157873
 1.51063830  -1.00271027
 1.61170213  -0.98483888 
 1.71276596  -0.96803359
 1.81382979  -0.95230988
 1.91489362  -0.93765131
 2.01595745  -0.92402246
 2.11702128  -0.91137685 
 2.21808511  -0.89966169 
 2.31914894  -0.88882101
 2.42021277  -0.87879784 
 2.52127660  -0.86953561 
 2.62234043  -0.86097938 
 2.72340426  -0.85307654 
 2.82446809  -0.84577731
 2.92553191  -0.83903497
 3.02659574  -0.83280588
 3.12765957  -0.82704942
 3.22872340  -0.82172783
 3.32978723  -0.81680610
 3.43085106  -0.81225175
 3.53191489  -0.80803475
 3.63297872  -0.80412735
 3.73404255  -0.80050391
 3.83510638  -0.79714109
 3.93617021  -0.79401727
 4.03723404  -0.79111276
 4.13829787  -0.78840957
 4.23936170  -0.78589130
 4.34042553  -0.78354298
 4.44148936  -0.78135092
 4.54255319  -0.77930259
 4.64361702  -0.77738649
 4.74468085  -0.77559205
 4.84574468  -0.77390950
 4.94680851  -0.77232988
 5.04787234  -0.77084454
 5.14893617  -0.76944686 
 5.25000000  -0.76812857
 5.35106383  -0.76688401
 5.45212766  -0.76570716 
 5.55319149  -0.76459254 
 5.75531915  -0.76253068 
 5.85638298  -0.76157486
 5.95744681  -0.76066402
 6.05851064  -0.75979478
 6.15957447  -0.75896408
 6.26063830  -0.75816910
 6.36170213  -0.75740733
 6.46276596  -0.75667643
 6.56382979  -0.75597432
 6.66489362  -0.75529909
 6.76595745  -0.75464898
 6.86702128  -0.75402243
 6.96808511  -0.75341797
 7.06914894  -0.75283428
 7.17021277  -0.75227016 
 7.27127660  -0.75172450
 7.37234043  -0.75119628
 7.47340426  -0.75068457 
 7.57446809  -0.75018850
 7.67553191  -0.74970728
 7.77659574  -0.74924018
 7.87765957  -0.74878651
 7.97872340  -0.74834564 
 8.07978723  -0.74791699
 8.18085106  -0.74750000
 8.28191489  -0.74709415
 8.38297872  -0.74669897 
 8.48404255  -0.74631401 
 8.58510638  -0.74593884
 8.68617021  -0.74557305
 8.78723404  -0.74521627
 8.88829787  -0.74486815
 8.98936170  -0.74452835
 9.09042553  -0.74419654 
 9.19148936  -0.74387243
 9.29255319  -0.74355573
 9.39361702  -0.74324617
 9.49468085  -0.74294349
 9.59574468  -0.74264745
 9.69680851  -0.74235781
 9.79787234  -0.74207435
 9.89893617  -0.74179687 
10.00000000  -0.74152516  
